"campusId","distance","duration","legs","originPostcode","postcode","ukprn"
"UCL  Main Campus","0.0","45.0","5","N10 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","5","N10 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","48.0","4","N11 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","44.0","4","N11 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","46.0","5","N11 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","46.0","4","N11 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","57.0","4","N12 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","41.0","3","N12 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","42.0","3","N12 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","41.0","3","N12 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","52.0","3","N12 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","58.0","5","N13 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","62.0","5","N13 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","63.0","5","N13 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","46.0","4","N13 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","58.0","4","N14 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","49.0","5","N14 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","47.0","4","N14 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","52.0","5","N14 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","46.0","4","N14 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","46.0","5","N15 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","35.0","3","N15 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","40.0","3","N15 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","41.0","3","N15 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","41.0","3","N15 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","48.0","3","N16 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","47.0","5","N16 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","48.0","6","N16 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","47.0","5","N16 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","48.0","5","N16 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","47.0","3","N16 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","3","N16 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","53.0","5","N17 0"," WC1E 6BT","10007784"
